0,disease_name,Doctor,exercise,diet,medicine
1,Fungal infection,Dr. shastri,Yoga,"High Protein, low carbohydrates",Clotrimazole
2,Allergy,Dr.Shelar,Suryanamaskar,Leafy vegitables,Take opinion from doctor
3,GERD,Dr. Hegadkar,"walking, light jogging, yoga","Root vegetables , Green vegetables",Esomeprazole
4,Chronic cholestasis,Dr. satav,Cardio excersize,High carbohydrates,Crocine
5,Drug Reaction,Dr. Kale,Meditation,Low fat,Disprine
6,Peptic ulcer diseae,Dr. Jagtap,Zumba dance,fruits,vitamin C
7,AIDS,Dr. Zore,Meditation,Leafy vegitables,Take opinion from doctor
8,Diabetes ,Dr. Kulkarni,Cardio excersize,Fruits Juice,Take opinion from doctor
9,Gastroenteritis,Dr. Patki,Walking,"High Protein, low carbohydrates",Take opinion from doctor
10,Bronchial Asthma,Dr. Date,Yoga,Leafy vegitables,Crocine
11,Hypertension ,Dr. Inamdar,Suryanamaskar,fruits,Disprine
12,Migraine,Dr. Shinde,Morning Walk,High carbohydrates,vitamin C
13,Cervical spondylosis,Dr. Garde,Yoga,Low fat,Disprine
14,Paralysis (brain hemorrhage),Dr. Gawas,Meditation,"High Protein, low carbohydrates",vitamin C
15,Jaundice,Dr. Kadam,Walking,Leafy vegitables,Take opinion from doctor
16,Malaria,Dr. Agarkar,Meditation,fruits,Take opinion from doctor
17,Chicken pox,Dr. Dhoni,Zumba dance,High carbohydrates,Crocine
18,Dengue,Dr. Khan,Meditation,Low fat,Disprine
19,Typhoid,Dr. Thakkar,Cardio excersize,fruits,vitamin C
20,hepatitis A,Dr. Gandhi,Walking,Leafy vegitables,Take opinion from doctor
21,Hepatitis B,Dr. Neharu,Walking,Fruits Juice,Take opinion from doctor
22,Hepatitis C,Dr. Ganguly,Walking,High carbohydrates,Take opinion from doctor
23,Hepatitis D,Dr. Kohali,Walking,Low fat,Take opinion from doctor
24,Hepatitis E,Dr.Gambhir,Walking,fruits,Take opinion from doctor
25,Alcoholic hepatitis,Dr. dhawal,Yoga,"High Protein, low carbohydrates",Take opinion from doctor
26,Tuberculosis,Dr. Buttler,Walking,Leafy vegitables,Take opinion from doctor
27,Common Cold,Dr. Jaiswal,Running,fruits,Crocine
28,Pneumonia,Dr. Samson,Meditation,High carbohydrates,Disprine
29,Dimorphic hemmorhoids(piles),Dr. Dube,Suryanamaskar,Low fat,vitamin C
30,Heart attack,Dr. Miller,Cardio excersize,fruits,Take opinion from doctor
31,Varicose veins,Dr. Parag,Cardio excersize,Leafy vegitables,"Vitamin D,E"
32,Hypothyroidism,Dr. Tewatia,Meditation,Fruits Juice,Take opinion from doctor
33,Hyperthyroidism,Dr. Morris,Zumba dance,fruits,Take opinion from doctor
34,Hypoglycemia,Dr. Unadkat,Suryanamaskar,"High Protein, low carbohydrates",Take opinion from doctor
35,Osteoarthristis,Dr. Sakaria,Cardio excersize,Leafy vegitables,Vitamin C
36,Arthritis,Dr. Mustafizur,Cardio excersize,fruits,Vitamin B
37,(vertigo) Paroymsal  Positional Vertigo,Dr.Yadav,Meditation,High carbohydrates,Take opinion from doctor
38,Acne,Dr. Bumrah,Zumba dance,Low fat,Take opinion from doctor
39,Urinary tract infection,Dr. Pandya,Meditation,fruits,Vitamin C
40,Psoriasis,Dr. Chahar,Yoga,Leafy vegitables,Take opinion from doctor
41,Impetigo,Dr. Pollard,Meditation,Fruits Juice,Take opinion from doctor
